sdwa	DESC	ID
		<I>id	<S>str


有效	注释	id	string
活动相关占位：	活动占位开始30000-49999	30000	เริ่ม<w>อีเวนต์
	活动类型_个人怪物攻城	30001	มอนสเตอร์<w>บุก<w>จู่โจม<w> (เดี่ยว<w>)
	活动类型_氏族怪物攻城	30002	มอนสเตอร์<w>บุก<w>จู่โจม<w> (เผ่า<w>)
	清除野兽	30003	กวาดล้าง<w>อสูร
	据点活动	30004	อีเวนต์<w>ฐาน<w>ที่มั่น
	九黎王帐	30005	กระโจม<w>แห่ง<w>กษัตริย์จิ่วหลี
	大型据点	30006	ฐาน<w>ที่มั่น<w>ขนาดใหญ่
	小型据点	30007	ฐาน<w>ที่มั่น<w>ขนาดเล็ก
	梦境挑战	30008	การ<w>ท้าทาย<w>แดน<w>แห่ง<w>ความฝัน
	世界boss	30009	บอส<w>ระดับโลก
	大荒手札个人怪物攻城	30010	จดหมายจากคิเมราแลนด์<w>: มอนสเตอร์<w>บุก<w>จู่โจม<w> (เดี่ยว<w>)
	大世界	30011	โลก
	位面	30012	เครื่องบิน
	神兽围猎	30013	ล่า<w>ดีโอบีสต์
	世界活动	30014	อีเวนต์<w>ระดับโลก
		30015	活动4开始咯！~~~~~~~~活动4开始咯！~~~~~~~~活动4开始咯！~~~~~~~~重要的事情播三遍
		30016	活动5开始咯！~~~~~~~~活动5开始咯！~~~~~~~~活动5开始咯！~~~~~~~~重要的事情播三遍
		30017	活动6开始咯！~~~~~~~~活动6开始咯！~~~~~~~~活动6开始咯！~~~~~~~~重要的事情播三遍
		30018	活动7开始咯！~~~~~~~~活动7开始咯！~~~~~~~~活动7开始咯！~~~~~~~~重要的事情播三遍
		30019	活动8开始咯！~~~~~~~~活动8开始咯！~~~~~~~~活动8开始咯！~~~~~~~~重要的事情播三遍
		30020	活动9开始咯！~~~~~~~~活动9开始咯！~~~~~~~~活动9开始咯！~~~~~~~~重要的事情播三遍
		30021	活动10开始咯！~~~~~~~~活动10开始咯！~~~~~~~~活动10开始咯！~~~~~~~~重要的事情播三遍
		30022	活动11开始咯！~~~~~~~~活动11开始咯！~~~~~~~~活动11开始咯！~~~~~~~~重要的事情播三遍
		30023	活动1结束咯！~~~~~~~~活动1结束咯！~~~~~~~~活动1结束咯！~~~~~~~~重要的事情播三遍
		30024	活动2结束咯！~~~~~~~~活动2结束咯！~~~~~~~~活动2结束咯！~~~~~~~~重要的事情播三遍
		30025	活动3结束咯！~~~~~~~~活动3结束咯！~~~~~~~~活动3结束咯！~~~~~~~~重要的事情播三遍
		30026	活动4结束咯！~~~~~~~~活动4结束咯！~~~~~~~~活动4结束咯！~~~~~~~~重要的事情播三遍
		30027	活动5结束咯！~~~~~~~~活动5结束咯！~~~~~~~~活动5结束咯！~~~~~~~~重要的事情播三遍
		30028	活动6结束咯！~~~~~~~~活动6结束咯！~~~~~~~~活动6结束咯！~~~~~~~~重要的事情播三遍
		30029	活动7结束咯！~~~~~~~~活动7结束咯！~~~~~~~~活动7结束咯！~~~~~~~~重要的事情播三遍
		30030	活动8结束咯！~~~~~~~~活动8结束咯！~~~~~~~~活动8结束咯！~~~~~~~~重要的事情播三遍
		30031	活动9结束咯！~~~~~~~~活动9结束咯！~~~~~~~~活动9结束咯！~~~~~~~~重要的事情播三遍
		30032	活动10结束咯！~~~~~~~~活动10结束咯！~~~~~~~~活动10结束咯！~~~~~~~~重要的事情播三遍
		30033	活动11结束咯！~~~~~~~~活动11结束咯！~~~~~~~~活动11结束咯！~~~~~~~~重要的事情播三遍
		30034	活动1持续中！~~~~~~~~活动1持续中！~~~~~~~~活动1持续中！~~~~~~~~重要的事情播三遍
		30035	活动2持续中！~~~~~~~~活动2持续中！~~~~~~~~活动2持续中！~~~~~~~~重要的事情播三遍
		30036	活动3持续中！~~~~~~~~活动3持续中！~~~~~~~~活动3持续中！~~~~~~~~重要的事情播三遍
		30037	活动4持续中！~~~~~~~~活动4持续中！~~~~~~~~活动4持续中！~~~~~~~~重要的事情播三遍
		30038	活动5持续中！~~~~~~~~活动5持续中！~~~~~~~~活动5持续中！~~~~~~~~重要的事情播三遍
		30039	活动6持续中！~~~~~~~~活动6持续中！~~~~~~~~活动6持续中！~~~~~~~~重要的事情播三遍
		30040	活动7持续中！~~~~~~~~活动7持续中！~~~~~~~~活动7持续中！~~~~~~~~重要的事情播三遍
		30041	活动8持续中！~~~~~~~~活动8持续中！~~~~~~~~活动8持续中！~~~~~~~~重要的事情播三遍
		30042	活动9持续中！~~~~~~~~活动9持续中！~~~~~~~~活动9持续中！~~~~~~~~重要的事情播三遍
		30043	活动10持续中！~~~~~~~~活动10持续中！~~~~~~~~活动10持续中！~~~~~~~~重要的事情播三遍
		30044	活动11持续中！~~~~~~~~活动11持续中！~~~~~~~~活动11持续中！~~~~~~~~重要的事情播三遍
		30045	活动1：特别牛逼，666，叼叼叼
		30046	活动2：活动2活动2活动2活动2活动2活动2活动2活动2活动2活动2活动2活动2活动2
		30047	活动3：活动3：活动3：活动3：活动3：活动3：活动3：活动3：活动3：活动3：活动3：活动3：活动3：
		30048	活动4：活动大世界都离开家少打就是可点击山东矿机双卡双待
		30049	活动5：春天到了
		30050	活动6：谁都杀第三季度开始觉得开蓝色建档立卡时间段开始觉得开始结束
		30051	活动7：啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
		30052	活动8：少时诵诗书所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所所
		30053	活动9：少时诵诗书所所所所所所所所所所所无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无无
		30054	活动10：点对点点对点多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多多
		30055	活动11：天天天天拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖拖
		30056	活动1要开始啦！活动1要开始啦！活动1要开始啦！
		30057	活动2要开始啦！活动2要开始啦！活动2要开始啦！
		30058	活动3要开始啦！活动3要开始啦！活动3要开始啦！
		30059	อีเวนต์<w>ดีโอบีสต์
		30060	อีเวนต์<w>ล่าสัตว์
		30061	อีเวนต์<w>คืนเงิน<w>จาก<w>การเต<w>ิม<w>เงิน
		30062	อีเวนต์<w>คืนเงิน<w>จาก<w>การ<w>จับจ่าย
		30063	อีเวนต์<w>บอร์ดจัดอันดับ
		30064	อีเวนต์<w>เดี่ยว
		30065	อีเวนต์<w>ทีม
		30066	อีเวนต์เผ่า
		30067	อีเวนต์<w>กลุ่ม
		30068	อีเวนต์<w>รวบรวม
		30069	อีเวนต์<w>เพาะปลูก
		30070	อีเวนต์<w>ปราบ<w>ู้<w>บอส
		30071	อีเวนต์<w>ประชัน<w>สกิล
		30072	อีเวนต์<w>ล่ารางวัล
		30073	อีเวนต์<w>ยึดครอง
		30074	อีเวนต์<w> PvP
		30075	อีเวนต์<w> PV<w>E
		30076	อีเวนต์<w>สำรวจ
		30077	อีเวนต์<w>ดัน<w>เจี้<w>ยน
		30078	อีเวนต์<w>เทศกาล
		30079	ทำซ้ำ<w>ได้<w>ทุกวัน
		30080	ทำซ้ำ<w>ได้<w>ทุก<w>สัปดาห์
		30081	ทำซ้ำ<w>ได้<w>ทุก<w>เดือน
	名称	30082	ห่วง<w>โซ่<w>วิญญาณ<w>ที่<w>งดงาม
	持续中	30083	ปฏิปักษ์แห่งมาร<w>กำลังจะ<w>ถูก<w>กำราบ<w> นี่<w>เป็น<w>โอกาส<w>ของ<w>ท่าน<w>แล้ว<w> ท่าน<w>นักรบ<w>! พยายาม<w>เข้า<w>!
	介绍	30084	มาร<w>สาม<w>หัว<w>ที่<w>ร่วงหล่น<w>มาจาก<w>ฟ้า<w>นั้น<w>เต็มไปด้วย<w>ความเกลียดชัง<w> และ<w>ตั้งใจ<w>ที่จะ<w>ทำให้<w>ทุกสิ่ง<w>ใน<w>โลก<w>แห่ง<w>วิญญาณ<w>แปดเปื้อน<w> ต้นไม้ศักดิ์สิทธิ์<w>คอย<w>ปก<w>ปักษ์<w>รักษา<w>โลก<w>และ<w>ชำระล้าง<w>วิญญาณ<w>จาก<w>ความเกลียดชัง<w> ซึ่ง<w>นักรบ<w>สามารถ<w>เข้าสู่<w>โลก<w>แห่ง<w>วิญญาณ<w>เพื่อ<w>ช่วยเหลือ<w>ใน<w>เรื่อง<w>นี้<w>ได้<w> และ<w>ผู้<w>ที่<w>โชคดี<w>จะ<w>ได้รับ<w>สมบัติ<w>ห่วง<w>โซ่<w>วิญญาณ<w>ไป<w>ครอบครอง
