sdwa	DESC	ID
		<I>id	<S>str


有效	注释	id	string
	打造测试剑描述1	200001	打造测试剑描述1
	打造测试斧描述1	200002	打造测试斧描述1
	打造测试弓描述1	200003	打造测试弓描述1
	打造测试手腕描述1	200004	打造测试手腕描述1
	打造测试裤子描述1	200005	打造测试裤子描述1
	打造测试头盔描述1	200006	打造测试头盔描述1
	打造测试戒指描述1	200007	打造测试戒指描述1
	打造测试靴子描述1	200008	打造测试靴子描述1
	打造测试护甲描述1	200009	打造测试护甲描述1
	打造测试剑描述2	200010	打造测试剑描述2
	打造测试斧描述2	200011	打造测试斧描述2
	打造测试弓描述2	200012	打造测试弓描述2
	打造测试手腕描述2	200013	打造测试手腕描述2
	打造测试裤子描述2	200014	打造测试裤子描述2
	打造测试头盔描述2	200015	打造测试头盔描述2
	打造测试戒指描述2	200016	打造测试戒指描述2
	打造测试靴子描述2	200017	打造测试靴子描述2
	打造测试护甲描述2	200018	打造测试护甲描述2
	枪支稳定性	200100	ความเสถียร<w>ของ<w>ปืน<w> **%s
		200201	สิ้นสุด<w>การ<w>ดวล<w>!
		200202	หนึ่ง<w>!
		200203	สอง<w>!
		200204	สาม<w>!
		200205	สี่<w>!
		200206	ห้า<w>!
		200207	เจ้า<w>หนู<w>น้อย<w> เจ้า<w>จะ<w>ต้อง<w>อยู่<w>ด้วยตัวเอง<w>แล้ว<w>จากนี้ไป
赵、陆使用状态占坑211001~212000		211001	111
		212000	222
	技能材料不足	212001	<c:ffda5151>เครื่องมือ<w>สกิล<w>ไม่<w>เพียงพอ
	生命值提升400点	212901	<c:FF96dec9>พลังชีวิต<w></c> +400
	生命值提升440点	212902	<c:FF96dec9>พลังชีวิต<w></c> +440
	生命值提升480点	212903	<c:FF96dec9>พลังชีวิต<w></c> +480
	生命值提升520点	212904	<c:FF96dec9>พลังชีวิต<w></c> +520
	生命值提升560点	212905	<c:FF96dec9>พลังชีวิต<w></c> +560
	生命值提升600点	212906	<c:FF96dec9>พลังชีวิต<w></c> +600
	攻击力提升40点	212907	<c:FF96dec9>พลัง<w>โจมตี<w></c> +40
	攻击力提升44点	212908	<c:FF96dec9>พลัง<w>โจมตี<w></c> +44
	攻击力提升48点	212909	<c:FF96dec9>พลัง<w>โจมตี<w></c> +48
	攻击力提升52点	212910	<c:FF96dec9>พลัง<w>โจมตี<w></c> +52
	攻击力提升56点	212911	<c:FF96dec9>พลัง<w>โจมตี<w></c> +56
	攻击力提升60点	212912	<c:FF96dec9>พลัง<w>โจมตี<w></c> +60
	近距离伤害提升2%	212913	<c:FF96dec9>ดาเมจระยะใกล้<w></c> +2%
	近距离伤害提升2.4%	212914	<c:FF96dec9>ดาเมจระยะใกล้<w></c> +2.4%
	近距离伤害提升2.8%	212915	<c:FF96dec9>ดาเมจระยะใกล้<w></c> +2.8%
	近距离伤害提升3.2%	212916	<c:FF96dec9>ดาเมจระยะใกล้<w></c> +3.2%
	近距离伤害提升3.6%	212917	<c:FF96dec9>ดาเมจระยะใกล้<w></c> +3.6%
	近距离伤害提升4%	212918	<c:FF96dec9>ดาเมจระยะใกล้<w></c> +4%
	远距离伤害提升2%	212919	<c:FF96dec9>ดาเมจระยะไกล<w></c> +2%
	远距离伤害提升2.4%	212920	<c:FF96dec9>ดาเมจระยะไกล<w></c> +2.4%
	远距离伤害提升2.8%	212921	<c:FF96dec9>ดาเมจระยะไกล<w></c> +2.8%
	远距离伤害提升3.2%	212922	<c:FF96dec9>ดาเมจระยะไกล<w></c> +3.2%
	远距离伤害提升3.6%	212923	<c:FF96dec9>ดาเมจระยะไกล<w></c> +3.6%
	远距离伤害提升4%	212924	<c:FF96dec9>ดาเมจระยะไกล<w></c> +4%
		212950	เลือก<w>โหนด<w>เพื่อ<w>เพิ่มเลเวล
		212953	พลัง
		212954	พลังโกลาหล
	星宿占位	213000	
	亢金龙10连弩	213001	ขณะ<w>ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ความแม่นยำ<w></c> +10% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙11	213002	ขณะ<w>ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ความแม่นยำ<w></c> +14% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙12	213003	ขณะ<w>ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ความแม่นยำ<w></c> +18% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙13	213004	ขณะ<w>ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ความแม่นยำ<w></c> +22% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙14	213005	ขณะ<w>ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ความแม่นยำ<w></c> +26% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙15	213006	ขณะ<w>ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ความแม่นยำ<w></c> +30% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙20	213007	ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ฟื้นฟู<w></c> พลังชีวิต<w>เท่ากับ<w> 10% ของ<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> เมื่อ<w>กำจัด<w>ศัตรู<w>ได้
	亢金龙21	213008	ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ฟื้นฟู<w></c> พลังชีวิต<w>เท่ากับ<w> 14% ของ<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> เมื่อ<w>กำจัด<w>ศัตรู<w>ได้
	亢金龙22	213009	ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ฟื้นฟู<w></c> พลังชีวิต<w>เท่ากับ<w> 18% ของ<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> เมื่อ<w>กำจัด<w>ศัตรู<w>ได้
	亢金龙23	213010	ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ฟื้นฟู<w></c> พลังชีวิต<w>เท่ากับ<w> 22% ของ<w><c:FF96dec9>พลัง<w>โจมตี<w></c> เมื่อ<w>กำจัด<w>ศัตรู<w>ได้
	亢金龙24	213011	ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ฟื้นฟู<w></c> พลังชีวิต<w>เท่ากับ<w> 26% ของ<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> เมื่อ<w>กำจัด<w>ศัตรู<w>ได้
	亢金龙25	213012	ถือ<w>หน้าไม้มัลติ<w> <c:FF96dec9>ฟื้นฟู<w></c> พลังชีวิต<w>เท่ากับ<w> 30% ของ<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> เมื่อ<w>กำจัด<w>ศัตรู<w>ได้
	亢金龙30	213013	ถือ<w>หน้าไม้มัลติ<w>เพิ่ม<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> 10% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙31	213014	ถือ<w>หน้าไม้มัลติ<w>เพิ่ม<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> 12% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙32	213015	ถือ<w>หน้าไม้มัลติ<w>เพิ่ม<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> 14% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙33	213016	ถือ<w>หน้าไม้มัลติ<w>เพิ่ม<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> 16% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙34	213017	ถือ<w>หน้าไม้มัลติ<w>เพิ่ม<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> 18% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	亢金龙35	213018	ถือ<w>หน้าไม้มัลติ<w>เพิ่ม<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> 20% เม<w>ื่ื่อเล็ง<w>เป้าหมาย
	角木蛟10左轮	213019	ถือ<w>หน้าไม้แข็ง<w>ลด<w> <c:FF96dec9>ค่า<w>ความคงทน<w></c> 5%
	角木蛟11	213020	ถือ<w>หน้าไม้แข็ง<w>ลด<w> <c:FF96dec9>ค่า<w>ความคงทน<w></c> 6%
	角木蛟12	213021	ถือ<w>หน้าไม้แข็ง<w>ลด<w> <c:FF96dec9>ค่า<w>ความคงทน<w></c> 7%
	角木蛟13	213022	ถือ<w>หน้าไม้แข็ง<w>ลด<w> <c:FF96dec9>ค่า<w>ความคงทน<w></c> 8%
	角木蛟14	213023	ถือ<w>หน้าไม้แข็ง<w>ลด<w> <c:FF96dec9>ค่า<w>ความคงทน<w></c> 9%
	角木蛟15	213024	ถือ<w>หน้าไม้แข็ง<w>ลด<w> <c:FF96dec9>ค่า<w>ความคงทน<w></c> 10%
	角木蛟20	213025	ถือ<w>หน้าไม้แข็ง<w>เพิ่ม<w> <c:FF96dec9>พลัง<w>โจมตี<w></c> 10% เป็นเวลา<w>  2 วินาที<w>หลัง<w>บรรจุ<w>กระสุน
